,Comentario,Eje Moral (Siendo siempre de 0 a 1)
1,RE POCOS VIEWERS CONSEGUITE OTRO HOBBI,1
2,"seguro no salis de esa pocilga de cuarto en todo el dia, bobo",1
3,menos vida social debe tener este pibe pobrecito…,1
4,imaginate stremear con esa cara!,"0,9"
5,sosun payaso,"0,9"
6,JUGAS MAL JUGAS MAL JUGAS MAL JUGAS MAL JUGAS MAL,"0,9"
7,de verdad crees que das gracia?,"0,8"
8,que tenes los graficos en 0 ??!! subiselos capo!!,"0,8"
9,jajaj tu computadora ni este juego corre,"0,8"
10,Chat ustedes no se aburrieron? Primera vez que lo veo y casi me duermo,"0,8"
11,TODAVIA JUGAS ESTO Y NO MEJORASTE NADA,"0,8"
12,La de laburar te la conoces?,"0,8"
13,"Tu contenido me parece aburridisimo, buscate algun laburo..","0,8"
14,sos horrible !!!!,"0,7"
15,Ya vas 40 minutos en esta parte man aprende a jugar,"0,7"
16,Re aburrido este juego me voy del stream,"0,7"
17,"Es malisimo el juego, con la mejor te lo digo","0,7"
18,sos malisimoooo,"0,7"
19,momo sacate la bandera que la representas mal XD,"0,6"
20,no me compraria esta basura de juego ,"0,6"
21,anda a ver el pasto ,"0,6"
22,No parece que te duches jajaja es broma,"0,6"
23,el chat no tiene vida propia,"0,6"
24,que onda la calidad del stream? conseguite un internet como la gente,"0,6"
25,ME ABURRO CHAT DIGAN ALGO PICANTE GENTE,"0,6"
26,Cuanto tiempo lo llevas persiguiendo?,"0,5"
27,Algun dia vas a jugar contra nosotros o tendremos que seguir esperando?,"0,5"
28,Alguien mas tiene problemas de lag? O es culpa de el?,"0,5"
29,"Ya no puedo leer, pon el modo subs!","0,4"
30,F por esa derrota bro,"0,4"
31,"Alguna vez te inscribiste a algun torneo? Jajaja es broma, pero juegas bien!","0,4"
32,Guau! El tren de sub! Suscribanse ahora (y regalenme una sub),"0,3"
33,pasame la musica q estas escuchando xfaaa,"0,3"
34,Estoy esperando que puedas pasarte ese nivel! Quiero ver tu reaccion,"0,3"
35,El chat se esta poniendo muy loco con los emotes!!,"0,2"
36,Este stream está bueno para escucharlo de fondo,"0,2"
37,Vas a realizar algun sorteo algun dia?,"0,2"
38,Como pasas todo el dia streameando? Es complicado? Yo tambien quiero!,"0,2"
39,Cual es tu juego favorito de siempre?,"0,1"
40,Como se llama este juego? Podrías decirme el nombre? ,"0,1"
41,Que plataforma de videojuegos es tu favorita?,"0,1"
42,Que vas a cenar?,"0,1"
43,Cual es el proximo juego que tienes en mente para comprar?,"0,1"
44,"Me voy a comer, pero ya regreso!","0,1"
45,Bueno me tengo que ir! Suerte crack!,"0,1"
46,Hola! Como estas hoy?,0
47,"La calidad del stream es genial, me encanta!",0
48,"Ey, eso se ve muy bueno!",0
49,Me encanta participar de este chat! Son lo mejor,0
50,"Que lastima que tengas que apagar, me estaba divirtiendo mucho",0
